short_name_ENG_i,short_name_ENG_j,f_ij,n_ij
"Boards, panels, consoles,",Rock drilling or earth bo,58,3
"Boards, panels, consoles,",Plugs and sockets for coa,54,9
"Boards, panels, consoles,",Iron or steel equipment f,52,2
"Boards, panels, consoles,",Railway or tramway track ,51,8
"Boards, panels, consoles,",Repair and maintenance of,2,1
"Boards, panels, consoles,","Spools, cops, bobbins and",48,1
"Boards, panels, consoles,",Repair and maintenance se,2,1
"Boards, panels, consoles,",Bumpers and parts thereof,45,3
"Boards, panels, consoles,",Ferrite cores of transfor,41,7
"Boards, panels, consoles,",Electrical apparatus for ,6,4
"Boards, panels, consoles,","Plastic boxes, cases, cra",37,1
"Boards, panels, consoles,",Self-adhesive printed lab,31,3
"Boards, panels, consoles,","Trunking, ducting and cab",30,5
"Boards, panels, consoles,",Other electric conductors,28,4
"Boards, panels, consoles,",Parts and accessories for,1,1
"Boards, panels, consoles,","Folding cartons, boxes an",27,1
"Boards, panels, consoles,","Appliance cords, extensio",26,6
"Boards, panels, consoles,",Sub-contracted operations,1,1
"Boards, panels, consoles,",Safety seat belts,23,2
"Boards, panels, consoles,",Parts of gas turbines (ex,23,1
"Boards, panels, consoles,",Machines with translation,22,5
"Boards, panels, consoles,",Searchlights and spotligh,22,6
"Boards, panels, consoles,",Parts and accessories of ,1,1
"Boards, panels, consoles,",Parts of electrical ignit,21,2
"Boards, panels, consoles,",Parts of machinery of HS ,1,4
"Boards, panels, consoles,",Parts of locomotives or r,21,2
"Boards, panels, consoles,",Rectifiers (excluding of ,20,10
"Boards, panels, consoles,",Multichip integrated circ,20,8
"Boards, panels, consoles,",Fuses for a voltage > 1 k,19,6
"Boards, panels, consoles,","Cases, boxes, crates, dru",19,1
"Boards, panels, consoles,","Other plates..., of polym",19,2
"Boards, panels, consoles,",Secondary raw material of,3,1
"Boards, panels, consoles,",Iron or steel hot-worked ,18,4
"Boards, panels, consoles,",Parts for machines for as,18,2
"Boards, panels, consoles,",Electronic gas or smoke a,18,2
"Boards, panels, consoles,",Repair services of tarpau,18,1
"Boards, panels, consoles,",Measuring transformers ha,18,3
"Boards, panels, consoles,",Parts for air conditionin,17,3
"Boards, panels, consoles,",Base stations,17,6
"Boards, panels, consoles,",Test benches,17,5
"Boards, panels, consoles,",Builder’s fittings and mo,17,2
"Boards, panels, consoles,","Files, rasps and similar ",16,4
"Boards, panels, consoles,",Inductors for discharge l,16,8
"Boards, panels, consoles,",Instruments and apparatus,15,1
"Boards, panels, consoles,","Aluminium bars, rods and ",15,2
"Boards, panels, consoles,",Cold-rolled narrow strip ,14,1
"Boards, panels, consoles,",Base metal hinges,14,3
"Boards, panels, consoles,",Parts for vacuum cleaners,14,1
"Boards, panels, consoles,",Parts of electrical telep,13,5
"Boards, panels, consoles,","Non-cellular plates, shee",13,1
"Boards, panels, consoles,",Fixed electrical resistor,13,3
"Boards, panels, consoles,","Teleferics, chair-lifts, ",13,1
"Boards, panels, consoles,","Aluminium plates, sheets ",12,1
"Boards, panels, consoles,",Tapping tools for working,12,1
"Boards, panels, consoles,",Electric motors of an out,12,3
"Boards, panels, consoles,",Sheet metal forming of st,12,1
"Boards, panels, consoles,","Plastic carboys, bottles,",12,1
"Boards, panels, consoles,",Cigarette paper in rolls ,11,1
"Boards, panels, consoles,","Printers, capable of conn",11,2
"Boards, panels, consoles,",Endless bands for machine,11,2
"Boards, panels, consoles,","Other recording media, in",10,1
"Boards, panels, consoles,",Fixed electrical capacito,10,3
"Boards, panels, consoles,",Copper and copper alloy p,10,1
"Boards, panels, consoles,",Chandeliers and other ele,9,2
"Boards, panels, consoles,",Accounting machines and s,9,2
"Boards, panels, consoles,",Screws and bolts for fixi,9,4
"Boards, panels, consoles,",Other digital automatic d,9,1
"Boards, panels, consoles,",Fuses for a voltage ≤ 1 k,9,6
"Boards, panels, consoles,",Machinery and apparatus f,1,2
"Boards, panels, consoles,",Iron or steel spring wash,8,3
"Boards, panels, consoles,","Plastic baths, shower-bat",8,1
"Boards, panels, consoles,",Tungsten (wolfram) and ar,8,1
"Boards, panels, consoles,",Base metal cylinder locks,7,2
"Boards, panels, consoles,",Artificial guts (sausage ,7,1
"Boards, panels, consoles,","Flexible tubes, pipes and",7,2
"Boards, panels, consoles,","Prefabricated buildings, ",7,1
"Boards, panels, consoles,","Parts of furniture, of me",7,1
"Boards, panels, consoles,",Multilayer printed circui,7,2
"Boards, panels, consoles,","Self-adhesive plates, she",7,3
"Boards, panels, consoles,",Cylinders for calendering,7,3
"Boards, panels, consoles,",Parts of bearing housings,7,2
"Boards, panels, consoles,",Insulated coaxial cables ,7,1
"Boards, panels, consoles,","Plates, sheet, film, foil",6,1
"Boards, panels, consoles,",Electrical insulators (ex,6,1
"Boards, panels, consoles,",Telescopic and whip-type ,6,2
"Boards, panels, consoles,",Parts suitable for use so,3,1
"Boards, panels, consoles,",Relays for a voltage ≤ 60,6,5
"Boards, panels, consoles,",Parts of machinery and ap,5,1
"Boards, panels, consoles,",Electrical or battery ope,6,1
"Boards, panels, consoles,",Parts of air and vacuum p,6,1
"Boards, panels, consoles,",Insulated ignition wiring,6,1
"Boards, panels, consoles,",Heat exchange units,5,1
"Boards, panels, consoles,",Apparatus based on the us,5,1
"Boards, panels, consoles,","Parts for converters, lad",5,1
"Boards, panels, consoles,",Storage units,5,2
"Boards, panels, consoles,",Other units of automatic ,5,2
"Boards, panels, consoles,",Articles of cellular rubb,5,3
"Boards, panels, consoles,",Monofilament with any cro,5,1
"Boards, panels, consoles,",Automatic goods-vending m,5,1
"Boards, panels, consoles,",Microphones and their sta,5,1
"Boards, panels, consoles,","Washers, rivets, cotters,",5,3
"Boards, panels, consoles,",Rubber transmission belts,5,1
"Boards, panels, consoles,",Base metal padlocks,5,2
"Boards, panels, consoles,",Parts of portable electri,5,3
"Boards, panels, consoles,","Submersible motor, single",5,1
"Boards, panels, consoles,",Adhesives based on natura,5,1
"Boards, panels, consoles,","Cold-rolled sheet, plate ",4,1
"Boards, panels, consoles,",Hot-rolled flat products ,4,1
"Boards, panels, consoles,",Aluminium tubes and pipes,4,2
"Boards, panels, consoles,",Self-adhesive strips of p,4,2
"Boards, panels, consoles,",Rubber compounded with ca,4,1
"Boards, panels, consoles,",Containers specially desi,4,1
"Boards, panels, consoles,",Bodies for motor cars and,4,1
"Boards, panels, consoles,",Parts of pumps for liquid,4,2
"Boards, panels, consoles,","Electrical signalling, sa",4,2
"Boards, panels, consoles,",Telephonic and measuremen,4,1
"Boards, panels, consoles,",Instruments for measuring,4,3
"Boards, panels, consoles,",Parts of radar apparatus ,4,2
"Boards, panels, consoles,","Tanks, casks, drums, cans",3,1
"Boards, panels, consoles,",Desk top PCs,3,3
"Boards, panels, consoles,",Parts for electric filame,3,1
"Boards, panels, consoles,",Hydraulic cylinders,3,1
"Boards, panels, consoles,","Hydraulic systems, with c",3,1
"Boards, panels, consoles,",Gear boxes for stationary,3,1
"Boards, panels, consoles,","Boards, cabinets and simi",3,1
"Boards, panels, consoles,","Syringes, with or without",3,1
"Boards, panels, consoles,",Copper tubes and pipes,3,1
"Boards, panels, consoles,",Parts for boring or sinki,3,1
"Boards, panels, consoles,",Numerically controlled be,3,1
"Boards, panels, consoles,",Vehicle compression-ignit,3,1
"Boards, panels, consoles,",Spark-ignition reciprocat,3,1
"Boards, panels, consoles,",Pigments and preparations,3,1
"Boards, panels, consoles,",Electronic flow meters (e,2,5
"Boards, panels, consoles,","Base metal hooks, eyes, e",2,1
"Boards, panels, consoles,",Passive networks (includi,2,3
"Boards, panels, consoles,","Parts of agricultural, ho",2,1
"Boards, panels, consoles,",Parts of electrical resis,2,1
"Boards, panels, consoles,",Pumps fitted or designed ,2,1
"Boards, panels, consoles,",Positive displacement pum,2,1
"Boards, panels, consoles,","Plastic parts for lamps, ",2,2
"Boards, panels, consoles,",Hydraulic brake fluids an,2,1
"Boards, panels, consoles,","Stranded wire, ropes and ",2,2
"Boards, panels, consoles,","Floor-cloths, dish-cloths",1,2
"Boards, panels, consoles,",Metal furniture (excludin,1,2
"Boards, panels, consoles,","Paint brushes, distemperi",1,2
"Boards, panels, consoles,",Articles and accessories ,1,1
"Boards, panels, consoles,",Drop forged (and precisio,1,1
"Boards, panels, consoles,","Polypropylene, in primary",1,1
"Boards, panels, consoles,",Digital data processing m,1,1
"Boards, panels, consoles,","Solid-state, non-volatile",1,2
"Boards, panels, consoles,",Network communications eq,1,2
"Boards, panels, consoles,",Electrical burglar or fir,1,1
"Boards, panels, consoles,",Radar apparatus,1,1
"Boards, panels, consoles,",Theodolites and tachymetr,1,1
"Boards, panels, consoles,",Television cameras (inclu,1,3
"Boards, panels, consoles,","Nails, tacks, drawing pin",1,1
"Boards, panels, consoles,",Multiple-walled insulatin,1,1
"Boards, panels, consoles,",Rubber tubing not reinfor,1,1
"Boards, panels, consoles,",Plastic fittings for furn,1,1
"Boards, panels, consoles,","Silver, unwrought or in p",1,1
"Boards, panels, consoles,","Flanges, of steel (exclud",1,2
"Boards, panels, consoles,",Pneumatic elevators and c,1,1
"Boards, panels, consoles,",Temperature regulators (e,1,1
"Boards, panels, consoles,",Fire extinguishers,1,2
"Boards, panels, consoles,",Optical fibre cables made,1,1
"Boards, panels, consoles,",Electronic thermostats,1,2
"Boards, panels, consoles,","Thermometers, liquid-fill",1,1
"Boards, panels, consoles,",Time-registers and time-r,1,2
"Boards, panels, consoles,",Indicator panels incorpor,1,2
"Boards, panels, consoles,",Iron or steel gas domesti,1,1
Table linen of knitted or,"Men’s or boys’ ensembles,",13,3
Table linen of knitted or,Men’s or boys’ trousers a,5,2
Table linen of knitted or,"Cartons, boxes and cases,",10,2
Table linen of knitted or,Brooms and brushes of twi,9,3
Table linen of knitted or,Sacks and bags of polymer,8,3
Table linen of knitted or,"Men’s or boys’ raincoats,",8,3
Table linen of knitted or,Men’s or boys’ other garm,7,3
Table linen of knitted or,Women’s or girls’ trouser,7,2
Table linen of knitted or,"Trunks, suitcases, vanity",7,3
Table linen of knitted or,Sub-contracted operations,1,1
Table linen of knitted or,Men’s or boys’ jackets an,6,1
Table linen of knitted or,Women’s or girls’ blouses,1,1
Table linen of knitted or,Other packaging container,6,3
Table linen of knitted or,Toilet paper,6,1
Table linen of knitted or,Woven carpets and other w,5,3
Table linen of knitted or,"Registers, account books,",5,2
Table linen of knitted or,Women’s or girls’ dresses,5,4
Table linen of knitted or,Women’s or girls’ jackets,2,1
Table linen of knitted or,"Men’s or boys’ overcoats,",5,1
Table linen of knitted or,"Watch straps, bands, brac",4,2
Table linen of knitted or,Woman’s or girls’ raincoa,4,2
Table linen of knitted or,Flat pallets and pallet c,4,1
Table linen of knitted or,"Paint brushes, distemperi",3,1
Table linen of knitted or,Parts of electrical signa,3,1
Table linen of knitted or,Wooden furniture of a kin,3,1
Table linen of knitted or,"Folding cartons, boxes an",3,1
Table linen of knitted or,"T-shirts, singlets and ve",3,2
Table linen of knitted or,Men’s or boys’ shirts (ex,3,3
Table linen of knitted or,Men’s or boys’ underpants,3,1
Table linen of knitted or,"Printed books, brochures,",3,2
Table linen of knitted or,"Men’s or boys’ jerseys, p",3,1
Table linen of knitted or,"Tarpaulins, awnings and s",3,2
Table linen of knitted or,Toilet linen and kitchen ,3,3
Table linen of knitted or,Bed linen of knitted or c,3,4
Table linen of knitted or,Hand-woven tapestries of ,3,4
Table linen of knitted or,"Plates, sheet, film, foil",3,1
Table linen of knitted or,Articles of leather or co,3,2
Table linen of knitted or,Curtains and interior bli,3,2
Table linen of knitted or,"Floor-cloths, dish-cloths",3,1
Table linen of knitted or,Women’s or girls’ ensembl,2,2
Table linen of knitted or,Electrical apparatus for ,2,1
Table linen of knitted or,Sleeping bags,2,2
Table linen of knitted or,Embroidery (without visib,2,2
Table linen of knitted or,Bookbinding and finishing,2,1
Table linen of knitted or,"Sacks and bags, of cotton",2,2
Table linen of knitted or,Other men’s or boys’ appa,2,2
Table linen of knitted or,Handkerchiefs,2,2
Table linen of knitted or,Footwear (including water,2,1
Table linen of knitted or,Leather uppers and parts ,2,1
Table linen of knitted or,Slippers and other indoor,2,1
Table linen of knitted or,Other headgear (except he,2,2
Table linen of knitted or,Felt hats and other felt ,2,1
Table linen of knitted or,Saddlery and harness for ,2,1
Table linen of knitted or,Women’s or girls’ overcoa,2,1
Table linen of knitted or,"Sacks and bags, with a ba",2,1
Table linen of knitted or,Sanitary towels and tampo,2,2
Table linen of knitted or,Blankets and travelling r,2,3
Table linen of knitted or,"Non-cellular plates, shee",2,1
Table linen of knitted or,"Woven fabrics of cotton, ",2,1
Table linen of knitted or,Tableware and kitchenware,2,1
Table linen of knitted or,Seats convertible into be,1,1
Table linen of knitted or,"Gloves, mittens and mitts",1,1
Table linen of knitted or,"Shawls, scarves, mufflers",1,1
Table linen of knitted or,"Track-suits, of knitted o",1,1
Table linen of knitted or,Babies’ garments and clot,1,1
Table linen of knitted or,Non-wovens of a weight ≤ ,1,1
Table linen of knitted or,Mattresses of cellular ru,1,1
Table linen of knitted or,Kitchen furniture,1,1
Table linen of knitted or,Tooth brushes,1,1
Table linen of knitted or,"Leather sports gloves, mi",1,1
Table linen of knitted or,Games and toys n.e.c.,1,1
Table linen of knitted or,"Paper knives, letter open",1,1
Table linen of knitted or,"Spools, cops, bobbins and",1,1
Table linen of knitted or,Printing components,1,1
Table linen of knitted or,Printing services for lab,1,1
Table linen of knitted or,Printed calendars of any ,1,1
Table linen of knitted or,Self-adhesive printed lab,1,1
Table linen of knitted or,Chandeliers and other ele,1,1
Table linen of knitted or,Printed commercial catalo,1,1
Table linen of knitted or,"Printed newspapers, journ",1,1
Table linen of knitted or,Assembly of lighting devi,1,1
Numerically controlled kn,Metal parts (excluding tu,11,1
Numerically controlled kn,Turned metal parts for ta,10,1
Numerically controlled kn,Articles of cellular rubb,4,1
Numerically controlled kn,Fire extinguishers,2,1
Numerically controlled kn,"Files, rasps and similar ",1,1
Numerically controlled kn,Numerically controlled be,1,1
Seats for motor vehicles,Hand-woven tapestries of ,4,1
Seats for motor vehicles,Insulated ignition wiring,3,1
Seats for motor vehicles,Articles of leather or co,1,2
Seats for motor vehicles,Repair services of tarpau,1,1
Urea resins and thiourea ,Rock drilling or earth bo,13,1
Urea resins and thiourea ,Hard rubber or plastic co,10,1
Urea resins and thiourea ,"Cartons, boxes and cases,",9,1
Urea resins and thiourea ,Screws and bolts for fixi,5,1
Urea resins and thiourea ,Railway or tramway track ,5,1
Urea resins and thiourea ,"Boards, panels, consoles,",5,1
Urea resins and thiourea ,Iron or steel spring wash,4,1
Urea resins and thiourea ,Self-adhesive printed lab,4,1
Urea resins and thiourea ,Hot-rolled flat products ,3,1
Urea resins and thiourea ,Cold-rolled narrow strip ,3,1
Urea resins and thiourea ,Iron or steel equipment f,3,1
Urea resins and thiourea ,Electrical apparatus for ,3,1
Urea resins and thiourea ,Numerically controlled be,3,1
Urea resins and thiourea ,"Folding cartons, boxes an",3,1
Urea resins and thiourea ,Numerical control panels ,2,1
Urea resins and thiourea ,"Polyacetals, in primary f",2,1
Urea resins and thiourea ,"Aluminium bars, rods and ",2,1
Urea resins and thiourea ,"Files, rasps and similar ",2,1
Urea resins and thiourea ,"Other plates..., of polym",2,1
Urea resins and thiourea ,"Washers, rivets, cotters,",2,1
Urea resins and thiourea ,"Paint brushes, distemperi",1,1
Urea resins and thiourea ,Iron or steel hot-worked ,1,1
Urea resins and thiourea ,"Self-adhesive plates, she",1,1
Urea resins and thiourea ,Cigarette paper in rolls ,1,1
Fresh or chilled carcases,Pig fat free of lean meat,42,2
Fresh or chilled carcases,Fresh or chilled carcases,4,6
Fresh or chilled carcases,Liver sausages and simila,65,2
Fresh or chilled carcases,Premixtures for farm anim,17,1
Fresh or chilled carcases,Edible offal of bovine an,24,3
Fresh or chilled carcases,"Hams, shoulders and cuts ",36,2
Fresh or chilled carcases,"Guts, bladders and stomac",20,1
Fresh or chilled carcases,Prepared or preserved goo,43,1
Fresh or chilled carcases,Frozen carcases and half-,13,1
Fresh or chilled carcases,Fresh bread containing by,45,1
Fresh or chilled carcases,"Flours, meals and pellets",12,1
Fresh or chilled carcases,Fresh or chilled whole ch,25,3
Fresh or chilled carcases,"Electricity, combined and",5,1
Fresh or chilled carcases,Sub-contracted operations,1,1
Fresh or chilled carcases,Homogenised preparations ,14,1
Fresh or chilled carcases,Raw hides and skins of bo,2,2
Fresh or chilled carcases,Unconcentrated juice of a,16,1
Fresh or chilled carcases,Prepared meals and dishes,3,1
Fresh or chilled carcases,Wheat or meslin flour,14,1
Fresh or chilled carcases,Repair and maintenance se,1,1
Fresh or chilled carcases,"Frozen carcases, half-car",1,2
Fresh or chilled carcases,"Beef and veal salted, in ",1,1
Fresh or chilled carcases,"Meat of goats, fresh or c",3,1
Fresh or chilled carcases,"Egg products, fresh, drie",4,1
Fresh or chilled carcases,Other raw hides and skins,3,2
Fresh or chilled carcases,Meat of horses and other ,2,1
Fresh or chilled carcases,"Meat salted, in brine, dr",2,1
Fresh or chilled carcases,Margarine and reduced and,2,1
Fresh or chilled carcases,Installation of machinery,1,1
Parts of pumps for liquid,Metal parts (excluding tu,75,1
Parts of pumps for liquid,Turned metal parts for ta,71,2
Parts of pumps for liquid,Iron or steel equipment f,38,1
Parts of pumps for liquid,The order of part operati,37,2
Parts of pumps for liquid,Machines for treating met,30,3
Parts of pumps for liquid,Bumpers and parts thereof,29,4
Parts of pumps for liquid,Repair and maintenance of,1,1
Parts of pumps for liquid,Hard rubber or plastic co,24,2
Parts of pumps for liquid,Wet painting and varnishi,23,1
Parts of pumps for liquid,Repair and maintenance se,1,2
Parts of pumps for liquid,Railway or tramway track ,16,3
Parts of pumps for liquid,Articles of cellular rubb,14,3
Parts of pumps for liquid,Parts of electrical signa,14,1
Parts of pumps for liquid,Parts of machinery of HS ,3,1
Parts of pumps for liquid,Tapping tools for working,13,1
Parts of pumps for liquid,Parts of fluid power equi,13,1
Parts of pumps for liquid,"Boards, panels, consoles,",13,2
Parts of pumps for liquid,Sub-contracted operations,1,1
Parts of pumps for liquid,Plastic parts for machine,12,1
Parts of pumps for liquid,Numerical control panels ,11,2
Parts of pumps for liquid,Parts of bearing housings,11,3
Parts of pumps for liquid,"Non-cellular plates, shee",11,1
Parts of pumps for liquid,"Plastic boxes, cases, cra",11,1
Parts of pumps for liquid,Rubber compounded with ca,10,2
Parts of pumps for liquid,Universal AC/DC motors of,10,2
Parts of pumps for liquid,Parts for machines for as,10,3
Parts of pumps for liquid,Plugs and sockets for coa,10,2
Parts of pumps for liquid,Rock drilling or earth bo,10,2
Parts of pumps for liquid,Flat pallets and pallet c,10,1
Parts of pumps for liquid,"Parts for converters, lad",10,1
Parts of pumps for liquid,Test benches,10,1
Parts of pumps for liquid,Parts and accessories of ,1,1
Parts of pumps for liquid,Electrical apparatus for ,8,2
Parts of pumps for liquid,"Plates, sheet, film, foil",8,2
Parts of pumps for liquid,Safety seat belts,7,2
Parts of pumps for liquid,Parts and accessories for,1,1
Parts of pumps for liquid,Ferrite cores of transfor,7,1
Parts of pumps for liquid,"Files, rasps and similar ",7,1
Parts of pumps for liquid,Hydraulic cylinders,7,1
Parts of pumps for liquid,Parts of gas turbines (ex,7,2
Parts of pumps for liquid,"Appliance cords, extensio",6,1
Parts of pumps for liquid,Searchlights and spotligh,6,1
Parts of pumps for liquid,Parts of machinery and ap,6,2
Parts of pumps for liquid,Fire extinguishers,6,1
Parts of pumps for liquid,Machinery and apparatus f,1,2
Parts of pumps for liquid,Parts suitable for use so,2,1
Parts of pumps for liquid,Parts for boring or sinki,5,2
Parts of pumps for liquid,Multichip integrated circ,5,1
Parts of pumps for liquid,Iron or steel hot-worked ,5,1
Parts of pumps for liquid,Installation of engines a,5,1
Parts of pumps for liquid,"Spools, cops, bobbins and",5,1
Parts of pumps for liquid,"Other plates..., of polym",4,2
Parts of pumps for liquid,Tableware and kitchenware,4,1
Parts of pumps for liquid,Aluminium tubes and pipes,4,2
Parts of pumps for liquid,Base metal hinges,4,1
Parts of pumps for liquid,"Flexible tubes, pipes and",4,2
Parts of pumps for liquid,Iron or steel spring wash,4,1
Parts of pumps for liquid,"Plastic reservoirs, tanks",4,1
Parts of pumps for liquid,Bodies for motor cars and,4,1
Parts of pumps for liquid,Parts of air and vacuum p,4,4
Parts of pumps for liquid,Bearing housings incorpor,4,2
Parts of pumps for liquid,Fixed electrical resistor,4,1
Parts of pumps for liquid,"Hydraulic systems, with c",4,2
Parts of pumps for liquid,Parts for air conditionin,4,3
Parts of pumps for liquid,Cylinders for calendering,4,3
Parts of pumps for liquid,Base stations,4,1
Parts of pumps for liquid,Apparatus based on the us,4,2
Parts of pumps for liquid,Rectifiers (excluding of ,4,1
Parts of pumps for liquid,Endless bands for machine,3,1
Parts of pumps for liquid,Flat-rolled products of i,3,1
Parts of pumps for liquid,"Cold-rolled sheet, plate ",3,1
Parts of pumps for liquid,"Tubes and pipes, of circu",3,2
Parts of pumps for liquid,"Tanks, casks, drums, cans",1,1
Parts of pumps for liquid,Parts of electrical telep,3,1
Parts of pumps for liquid,Plastic fittings for furn,3,1
Parts of pumps for liquid,Screws and bolts for fixi,3,1
Parts of pumps for liquid,"Trunking, ducting and cab",3,1
Parts of pumps for liquid,"Parts of agricultural, ho",3,1
Parts of pumps for liquid,"Submersible motor, single",3,8
Parts of pumps for liquid,"Teleferics, chair-lifts, ",3,2
Parts of pumps for liquid,Machines with translation,3,1
Parts of pumps for liquid,Furniture of plastics (ex,3,1
Parts of pumps for liquid,Jigs and fixtures for spe,3,1
Parts of pumps for liquid,Other electric conductors,3,1
Parts of pumps for liquid,Instruments for measuring,2,1
Parts of pumps for liquid,"Textile fabrics, impregna",2,1
Parts of pumps for liquid,Electric motors of an out,2,3
Parts of pumps for liquid,Heat exchange units,2,1
Parts of pumps for liquid,Other trailers and semi-t,2,2
Parts of pumps for liquid,Pneumatic elevators and c,2,1
Parts of pumps for liquid,Insulated ignition wiring,2,1
Parts of pumps for liquid,"Chassis for trailers, sem",2,1
Parts of pumps for liquid,Bulldozer or angledozer b,2,1
Parts of pumps for liquid,Parts for centrifuges and,2,1
Parts of pumps for liquid,Combine harvester-threshe,2,1
Parts of pumps for liquid,Parts of machines and app,2,1
Parts of pumps for liquid,Pressure-reducing valves ,2,1
Parts of pumps for liquid,Rotary piston vacuum pump,2,2
Parts of pumps for liquid,Gear boxes for stationary,2,2
Parts of pumps for liquid,Temperature regulators (e,2,1
Parts of pumps for liquid,Cranks and crankshafts,2,2
Parts of pumps for liquid,Rubber tubing not reinfor,2,2
Parts of pumps for liquid,Multiple-walled insulatin,2,1
Parts of pumps for liquid,Monofilament with any cro,2,2
Parts of pumps for liquid,"Silicones, in primary for",2,1
Parts of pumps for liquid,"Bars and rods, of non-all",2,2
Parts of pumps for liquid,"Bars and rods, of high-sp",2,1
Parts of pumps for liquid,Adhesives based on natura,2,1
Parts of pumps for liquid,Base metal coated electro,2,1
Parts of pumps for liquid,Artificial guts (sausage ,2,1
Parts of pumps for liquid,Pile-drivers and pile-ext,1,1
Parts of pumps for liquid,Electrical or battery ope,1,1
Parts of pumps for liquid,Containers specially desi,1,1
Parts of pumps for liquid,Passive networks (includi,1,1
Parts of pumps for liquid,Stainless steel sinks and,1,1
Parts of pumps for liquid,"Plastic carboys, bottles,",1,1
Parts of pumps for liquid,"Self-adhesive plates, she",1,1
Parts of pumps for liquid,Iron or non-alloy steel w,1,1
Parts of pumps for liquid,"Aluminium plates, sheets ",1,1
Parts of pumps for liquid,"Flat-rolled products, of ",1,1
Parts of pumps for liquid,Pickling preparations for,1,1
Parts of pumps for liquid,"Tubes and pipes, of non-c",1,2
Parts of pumps for liquid,Positive displacement pum,1,3
Parts of pumps for liquid,Positive displacement rec,1,1
Parts of pumps for liquid,Iron or steel roller chai,1,2
Parts of pumps for liquid,"Balls, needles and roller",1,2
Parts of pumps for liquid,Flywheels and pulleys (in,1,1
Parts of pumps for liquid,Potato-diggers and potato,1,1
Parts of pumps for liquid,Numerically controlled ho,1,1
Parts of pumps for liquid,Non-automatic lubricating,1,2
Parts of pumps for liquid,Electronic thermostats,1,3
Parts of pumps for liquid,Electronic gas or smoke a,1,1
Parts of pumps for liquid,Electronic flow meters (e,1,2
"Dog or cat food, p.r.s.",Premixtures for farm anim,81,9
"Dog or cat food, p.r.s.",Fresh or chilled whole ch,37,1
"Dog or cat food, p.r.s.",Frozen whole chickens,33,1
"Dog or cat food, p.r.s.",Prepared or preserved goo,33,1
"Dog or cat food, p.r.s.",Fresh or chilled fatty li,31,1
"Dog or cat food, p.r.s.",Oilcake and other solid r,21,1
"Dog or cat food, p.r.s.",Crude sunflower-seed and ,16,1
"Dog or cat food, p.r.s.","Guts, bladders and stomac",14,1
"Dog or cat food, p.r.s.",Sub-contracted operations,1,1
"Dog or cat food, p.r.s.",Refined sunflower-seed an,11,1
"Dog or cat food, p.r.s.","Filled chocolate blocks, ",3,1
"Dog or cat food, p.r.s.","Cocoa powder, containing ",2,1
"Dog or cat food, p.r.s.",Coffee substitutes contai,2,1
"Dog or cat food, p.r.s.","Egg products, fresh, drie",1,1
"Granules and powders, of ",The order of part operati,1,1
Installation of engines a,Iron or steel equipment f,68,3
Installation of engines a,Metal parts (excluding tu,49,3
Installation of engines a,Heat water or steam heat ,32,1
Installation of engines a,Drinking water,31,1
Installation of engines a,The order of part operati,28,1
Installation of engines a,Repair and maintenance of,1,1
Installation of engines a,Sub-contracted operations,1,1
Installation of engines a,Steam and hot water suppl,17,1
Installation of engines a,Repair and maintenance se,1,1
Installation of engines a,Wet painting and varnishi,16,1
Installation of engines a,Design and assembly of in,14,2
Installation of engines a,Installation of other spe,13,2
Installation of engines a,Distribution services of ,8,1
Installation of engines a,"Iron or steel reservoirs,",13,3
Installation of engines a,Installation of electric ,10,3
Installation of engines a,Treatment and distributio,9,1
Installation of engines a,Machines for treating met,9,2
Installation of engines a,Wrought steel shaped free,9,1
Installation of engines a,Heat exchange units,9,2
Installation of engines a,Electronic gas or smoke a,8,1
Installation of engines a,Temperature regulators (e,8,1
Installation of engines a,Rubber compounded with ca,8,1
Installation of engines a,Other graphic services,7,1
Installation of engines a,"Submersible motor, single",7,1
Installation of engines a,Parts of electrical signa,7,1
Installation of engines a,Parts for air conditionin,6,1
Installation of engines a,"Parts for taps, cocks, va",6,1
Installation of engines a,Machinery and apparatus f,1,1
Installation of engines a,Repair services of tarpau,5,2
Installation of engines a,"Flanges, of steel (exclud",4,1
Installation of engines a,Parts of pumps for liquid,4,1
Installation of engines a,Pulley tackle and hoists ,4,1
Installation of engines a,Installation services of ,1,1
Installation of engines a,Parts suitable for use so,1,1
Installation of engines a,Parts of machinery of HS ,3,1
Installation of engines a,Iron or steel towers and ,3,1
Installation of engines a,Test benches,2,1
Installation of engines a,Electric bakery and biscu,2,1
Installation of engines a,Parts for centrifuges and,2,1
Installation of engines a,Iron or steel gas domesti,2,1
Installation of engines a,"Iron or steel doors, thre",2,1
Installation of engines a,"Tanks, casks, drums, cans",2,1
Installation of engines a,Beer made from malt (excl,1,1
Installation of engines a,Other wooden furniture (e,1,1
Installation of engines a,Kitchen furniture,1,1
Installation of engines a,Wooden furniture of a kin,1,1
Installation of engines a,Installation of industria,1,1
Installation of engines a,Multichip integrated circ,1,1
Installation of engines a,Computers and peripheral ,1,1
Installation of engines a,Pneumatic elevators and c,1,1
Installation of engines a,"Teleferics, chair-lifts, ",1,1
Installation of engines a,"Parts of agricultural, ho",1,1
Installation of engines a,Refrigerated show-cases a,1,1
Installation of engines a,Parts and accessories of ,1,1
Hydraulic brake fluids an,"Plastic carboys, bottles,",58,2
Hydraulic brake fluids an,"Spools, cops, bobbins and",40,3
Hydraulic brake fluids an,Acyclic ethers and their ,31,1
